term_id,name,slug,description,display_type,parent,thumbnail
504,"Солодкі Слойки",solodki-slojky,,default,501,
796,"СУШІ МАКІ",sushi_maki,,default,790,
533,Гарніри,garniry-dynastiya,,default,530,
639,Креветки,krevetky,,default,637,
661,"Доставка продуктів",dostavka-produktiv-korysni-solodoshhi,,default,364,
762,Хот-доги,hot-dog-cono-pizza,,default,759,
447,Cолодощі,deserty-minimarket,,default,446,
381,"ЗАКУСКИ ФРІ",zakusky-fri,,default,376,
468,"М’ЯСНІ ВИРОБИ",m-yasni-vyroby,,default,466,
616,Інше,inshe,,default,614,
569,"Додаткові пропозиції",dodatkovi-propozytsiyi,,default,567,
601,"ГАРЯЧІ ЗАКУСКИ",garyachi-piccadilly,,default,451,
820,Салати,salaty-sushizoom,,default,815,
573,Шаурма,shaurma-shauroom,,default,572,
447,Cолодощі,deserty-minimarket,,default,446,
381,"ЗАКУСКИ ФРІ",zakusky-fri,,default,376,
468,"М’ЯСНІ ВИРОБИ",m-yasni-vyroby,,default,466,
616,Інше,inshe,,default,614,
569,"Додаткові пропозиції",dodatkovi-propozytsiyi,,default,567,
601,"ГАРЯЧІ ЗАКУСКИ",garyachi-piccadilly,,default,451,
820,Салати,salaty-sushizoom,,default,815,
573,Шаурма,shaurma-shauroom,,default,572,
602,Роли,roly-loft,,default,550,
731,М'ясо,myaso,,default,729,
768,Бургери/вафлі/кебаб,burgery-vafli-kebab,,default,764,
407,Риба,ryba,,default,377,
516,"Закуски вагові",zakusky-vagovi,,default,513,
548,"Великі піци",velyki-pitsy,,default,372,
699,Роли,roly-rolex,,default,373,
475,"Шоколанді пасти",shokolandi-pasty,,default,470,
621,"Гарячі закуски",garyachi-i-love-kebab,,default,617,
372,"PRIMA PIZZA",prima-pizza,"10:00 - 21:30",default,0,https://tyk-tyk.biz/wp-content/uploads/2025/01/IMG_4502-min-scaled.jpg
523,САЛАТИ,salaty-pitseriya-to-to,,default,507,
810,Паста,pasta-pepperoni-pizza,,default,742,
441,КУРИ-ГРИЛЬ,kury-gryl,,default,379,
656,Пиво,pyvo-beer-club,,default,650,
779,"Перші страви",pershi-stravu,,default,774,
780,"Основні страви",osnovni-stravu,,default,774,
465,ПІЦА,p-i-ts-a-terasa,,default,452,
561,"Основні страви",osnovni-stravy-loft,,default,550,
564,Хот-Доги,menyu-piccadilly,,default,451,
798,"СУШІ - БУРГЕР",sushi_burger,,default,790,
419,"Основні страви та гарніри",osnovni-stravy-ta-garniry,,default,375,
535,Піца,pitsa-dynastiya,,default,530,
448,Снеки,sneky,,default,446,
679,Фастфуд,fastfood-redington,,default,376,
821,Дракони,drakony,,default,815,
620,"Додатки та соуси",dodatky-ta-sousy,,default,617,
732,Піца,p-i-ts-a-nash-kraj,,default,729,
770,Гриль,grul,,default,759,
385,САЛАТИ,salaty,,default,372,
574,Хот-доги,hot-dogy,,default,572,
408,Гарніри,garnir,,default,377,
476,Сир,syr,,default,466,
520,ЗАКУСКИ,zakusky-pitseriya-to-to,,default,507,
737,Нігірі,nigiri,,default,373,
654,Вино,vyno-beer-club,,default,650,
811,Закуски,zakusky-pepperoni-pizza,,default,742,
373,ROLEX+,rolex,"11:00 - 21:30",default,0,https://tyk-tyk.biz/wp-content/uploads/2023/02/Rolex.png
688,Солодощі,deserty-korysni-solodoshhi,,default,364,
780,"Основні страви",osnovni-stravu,,default,774,
781,"Страви з риби",stravu-z-rubu,,default,774,
418,"Соуса та додатки до піци",sousa-ta-dodatky-do-pitsy,,default,375,
507,"PІZZERIA TO-TO",pitseriya-to-to,"11:00 - 22:00",default,0,https://tyk-tyk.biz/wp-content/uploads/2024/02/Instagram-post-2-12.png
799,ФУНЧОЗА,fynchoza,,default,790,
380,"СТЕЙК ТА ІНШЕ",stejk,,default,376,
642,Ікра,ikra,,default,637,
599,ДОДАТКИ,dodatky-piccadilly,,default,451,
822,"Гриль Роли",gryl-roly,,default,815,
733,Кулінарія,kulinariya,,default,729,
386,"ОСНОВНІ СТРАВИ",osnovni-stravy,,default,372,
455,Салати,salaty-terasa,,default,452,
575,Закуски,zakusky-shauroom,,default,572,
604,Гарніри,garniry-loft,,default,550,
812,Салати,salaty-pepperoni-pizza,,default,742,
660,"Гаряча їжа",dostavka-produktiv,,default,446,
741,"LA PIZZA DI SERGIO",la-pizza-di-sergio,"вт - нд 12.00 - 20.00
пн - вихідний",default,364,https://tyk-tyk.biz/wp-content/uploads/2023/07/LA-PIZZA-DI-SERGIO.png
781,"Страви з риби",stravu-z-rubu,,default,774,
418,"Соуса та додатки до піци",sousa-ta-dodatky-do-pitsy,,default,375,
507,"PІZZERIA TO-TO",pitseriya-to-to,"11:00 - 22:00",default,0,https://tyk-tyk.biz/wp-content/uploads/2024/02/Instagram-post-2-12.png
